id|en|fixed_uk
1794| 15 information on the voting results in the territorial constituency shall be generated and transmitted to the central election commission by means of the automated information and analytical system only after transmission of information on the vote count at all election precincts of the constituency to the central election commission by means of this system|15 відомості про підсумки голосування в територіальному окрузі формуються і передаються до центральної виборчої комісії засобами автоматизованої інформаційноаналітичної системи лише після передачі до центральної виборчої комісії відомостей про підрахунок голосів виборців щодо всіх виборчих дільниць територіального округу засобами цієї системи
19| 2 elections of the president of ukraine and elections of mps of ukraine shall be national elections|2 вибори президента україни та вибори народних депутатів україни є загальнодержавними виборами
3499| 2 a precinct election commission shall|2 дільнична виборча комісія
1536| 1 to interfere with the work of the election commission take actions that derail the election process or prevent members of the election commission from exercising their powers|1 втручатися в роботу виборчої комісії чинити дії що порушують хід виборчого процесу або заважають членам виборчої комісії здійснювати свої повноваження
3256| clause 1 part 1 article 196 as amended by law no 805ix of 16 july 2020|пункт 1 частини першої статті 196 із змінами внесеними згідно із законом  805ix від 16072020
4861| article 267 has been deleted under law no 805ix of 16 july 2020|статтю 267 виключено на підставі закону  805ix від 16072020
2844| clause 2 part 7 article 175 as amended by law no 805ix of 16 july 2020|пункт 2 частини сьомої статті 175 із змінами внесеними згідно із законом  805ix від 16072020
2030| statements of persons proposed to the constituency election commission on their consent to participate in the work of the election commission on behalf of the respective nominator and to perform official duties of the chairperson deputy chairperson or secretary of the election commission and the absence of consent to participate in the work of the election commission on behalf of other nominators in the respective election shall be provided to the respective political parties which are nominators prior to the submission to the central election commission of a nomination regarding such candidates to the constituency election commissions|заяви осіб запропонованих до складу окружної виборчої комісії про згоду на участь у роботі виборчої комісії від відповідного субєкта подання згоду виконувати посадові обовязки голови заступника голови або секретаря виборчої комісії та про ненадання згоди на участь у роботі виборчої комісії іншим субєктам подання на відповідних виборах надаються відповідним політичним партіям  субєктам подання до моменту внесення до центральної виборчої комісії подання стосовно кандидатур до складу окружних виборчих комісій
4378| 6 supervision over the process of entering and exiting the voting premises|6 контролю входу та виходу із приміщення для голосування
1461| 2 the candidate for the president of ukraine cannot be dismissed from hisher position during the election process on the initiative of the owner of enterprise institution organisation or a body authorised by the owner or a commander of a military unit formation  a candidate for the president of ukraine cannot be transferred to another position sent on a business trip or called up for a military or alternative nonmilitary service training testing or special callup of persons liable for military service without hisher prior consent|2 кандидат на пост президента україни під час виборчого процесу не може бути звільнений з роботи з ініціативи власника підприємства установи організації або уповноваженого ним органу командира військової частини формування кандидат на пост президента україни без його згоди не може бути переведений на іншу роботу направлений у відрядження а також призваний на військову або альтернативну невійськову службу навчальні перевірні та спеціальні збори військовозобовязаних
3132| 1 last name given name all given names and patronymic if any|1 прізвище власне імя усі власні імена по батькові за наявності
